gene_name	gene_id	#TX	#CAP_exons	#CAP_bases	#GC_exons	#GC_bases	%bases_ovl	%UTR_bases_ovl	%exon_bases_ovl
CALML6	ENSG00000169885.8	4	6	638	3	2321	0.11891426109435588	0.12007168458781362	0.09598603839441536
TMEM52	ENSG00000178821.11	6	4	361	1	1594	0.36888331242158096	0.4704861111111111	1.0
CFAP74	ENSG00000142609.16	9	40	6320	38	10422	0.4880061408558818	0.18636363636363637	0.50839991804958
GABRD	ENSG00000187730.7	1	9	1634	9	1928	0.7484439834024896	0.1520979020979021	1.0
PRKCZ	ENSG00000067606.14	27	23	3031	23	7636	0.358040859088528	0.0670299727520436	0.6270801815431165
C1orf86	ENSG00000162585.15	15	14	1249	10	10916	0.07869182850861121	0.16088922381311227	0.07637595258255715
SKI	ENSG00000157933.9	4	7	2908	9	6080	0.3861842105263158	0.030912802566345873	0.8457185967559412
MORN1	ENSG00000116151.12	11	19	2221	15	11337	0.15824292140777985	0.05686465433300876	0.4609707635537894
RER1	ENSG00000157916.17	10	6	667	5	5691	0.13670708135652784	0.03492564218116269	0.4972067039106145
PEX10	ENSG00000157911.8	8	6	1824	8	3789	0.35998944312483505	0.07521522428636157	0.7566371681415929
PLCH2	ENSG00000149527.16	8	24	2994	22	10782	0.266184381376368	0.05404354587869362	0.6360624704212021
PANK4	ENSG00000157881.12	12	20	2812	19	5079	0.4727308525300256	0.3986820428336079	0.48278175313059035
HES5	ENSG00000197921.5	1	3	559	3	1306	0.40428790199081166	0.03712871287128713	1.0
TNFRSF14	ENSG00000157873.16	16	10	2159	4	6219	0.11030712333172536	0.1854265402843602	0.09865371882586625
FAM213B	ENSG00000157870.13	15	8	997	6	3371	0.20172055769801245	0.04992867332382311	0.45260663507109006
MMEL1	ENSG00000142606.14	9	23	2725	22	3844	0.6077003121748179	0.2626427406199021	0.6731662024141133
TTC34	ENSG00000215912.10	3	7	1825	11	5900	0.2894915254237288	0.06299212598425197	0.29587036069001565
ACTRT2	ENSG00000169717.6	1	1	1139	1	1421	0.8015482054890922	0.027586206896551724	1.0
PRDM16	ENSG00000142611.15	10	17	4274	20	9767	0.40176103204668784	0.03998476770753998	0.8225913621262458
ARHGEF16	ENSG00000130762.13	7	15	2673	14	5563	0.42243393852238004	0.04132231404958678	0.5045871559633027
MEGF6	ENSG00000162591.14	7	39	6217	39	7039	0.6925699673249041	0.09915809167446211	0.7988274706867672
TPRG1L	ENSG00000158109.13	2	5	1043	5	2414	0.36951118475559236	0.04755944931163955	1.0
WRAP73	ENSG00000116213.14	10	12	1819	6	7604	0.10034192530247238	0.2166446499339498	0.12501825617058565
TP73	ENSG00000078900.13	14	15	1950	14	6763	0.3060771846813544	0.09776536312849161	0.5964601769911504
CCDC27	ENSG00000162592.7	2	12	1924	11	2318	0.8537532355478861	0.3890577507598784	0.9306184012066365
SMIM1	ENSG00000235169.6	3	2	245	2	954	0.25471698113207547	0.011126564673157162	1.0
LRRC47	ENSG00000130764.8	3	7	1843	8	4516	0.38950398582816653	0.020731247644176404	0.9146537842190016
CEP104	ENSG00000116198.11	11	22	3379	23	7876	0.3913153885220924	0.012863268222963315	0.8230016313213703
DFFB	ENSG00000169598.14	12	10	1238	8	3870	0.3705426356589147	0.1421116017663589	0.782608695652174
C1orf174	ENSG00000198912.9	3	4	732	4	4388	0.15177757520510482	0.052294557097118465	0.17520372526193248
AJAP1	ENSG00000196581.9	3	6	1416	6	12405	0.14292623941958887	0.04847396768402154	0.974703557312253
NPHP4	ENSG00000131697.16	11	31	4698	27	13167	0.3097896255790993	0.31495743818402916	0.4221531203088141
KCNAB2	ENSG00000069424.13	19	18	1961	22	9534	0.15743654289909798	0.004183400267737617	0.3741661613098848
CHD5	ENSG00000116254.16	6	44	6664	42	9890	0.6312436804853387	0.07310636051728689	0.9778724799213244
RPL22	ENSG00000116251.8	8	6	432	4	4900	0.0926530612244898	0.05319888734353268	0.9477124183006536
RNF207	ENSG00000158286.11	9	16	2796	16	6586	0.3335863953841482	0.002472799208704253	0.4802804557405784
ICMT	ENSG00000116237.14	4	6	811	5	4910	0.1924643584521385	0.05007187350263536	1.0
HES3	ENSG00000173673.7	1	3	623	3	697	0.8321377331420373	0.15827338129496402	1.0
GPR153	ENSG00000158292.6	1	5	1864	5	4082	0.44953454189122977	0.003547671840354767	1.0
ACOT7	ENSG00000097021.18	10	14	1738	12	4124	0.3719689621726479	0.09668633681343622	0.67982924226254
HES2	ENSG00000069812.10	6	4	564	4	5407	0.10467911965970039	0.06661411115490737	0.993993993993994
ESPN	ENSG00000187017.13	10	12	3789	16	4121	0.6913370541130793	0.14756671899529042	0.9311111111111111
TNFRSF25	ENSG00000215788.8	20	10	1152	6	3918	0.21898928024502298	0.26374859708193044	0.2590023125206475
PLEKHG5	ENSG00000171680.19	12	22	5897	22	6920	0.5027456647398844	0.05143540669856459	0.7592928377153219
NOL9	ENSG00000162408.10	5	12	2189	12	7293	0.292197998080351	0.0037420206911732336	0.7687272727272727
TAS1R1	ENSG00000173662.18	5	6	2556	6	2892	0.8751728907330567	0.68416447944007	1.0
ZBTB48	ENSG00000204859.10	9	10	1770	4	4503	0.29891183655340886	0.09957924263674614	0.3912902177445564
KLHL21	ENSG00000162413.15	6	4	1634	3	6901	0.25039849297203304	0.05696442089326268	1.0
PHF13	ENSG00000116273.5	2	4	1040	4	3681	0.2705786471067645	0.034519956850053934	1.0
THAP3	ENSG00000041988.14	8	7	692	6	4072	0.15176817288801572	0.1509127789046653	0.3298070939639079
DNAJC11	ENSG00000007923.14	11	18	2255	19	5083	0.40271493212669685	0.16829865361077112	0.5204407074514352
CAMTA1	ENSG00000171735.17	16	28	6024	30	10033	0.5464965613475531	0.074296262113521	0.9055974732409194
VAMP3	ENSG00000049245.11	3	5	628	5	2760	0.16521739130434782	0.06382978723404255	0.8347107438016529
PER3	ENSG00000049246.13	9	23	4112	22	8099	0.4424002963328806	0.01681260945709282	0.6741037376048817
UTS2	ENSG00000049247.12	3	7	703	6	1791	0.3556672250139587	0.13816280806572068	1.0
TNFRSF9	ENSG00000049249.7	4	7	839	9	6331	0.1230453324909177	0.002019460253350468	0.8687782805429864
PARK7	ENSG00000116288.11	10	6	1168	8	2397	0.3024614100959533	0.09069493521790342	0.4186046511627907
ERRFI1	ENSG00000116285.11	5	3	231	3	4186	0.31509794553272813	0.2780891379770483	0.8
SLC45A1	ENSG00000162426.13	4	9	2475	10	2888	0.8403739612188366	0.17727272727272728	0.9595588235294118
RERE	ENSG00000142599.16	18	23	5383	27	11503	0.44058071807354604	0.022397891963109356	0.7146351993092531
ENO1	ENSG00000074800.12	6	12	1528	12	3958	0.39868620515411823	0.23055809698078683	0.46282722513089003
CA6	ENSG00000131686.13	6	10	1540	10	2662	0.5015026296018031	0.02783882783882784	1.0
SLC2A7	ENSG00000197241.3	1	12	1775	12	1539	1.0	1.0	1.0
SLC2A5	ENSG00000142583.16	10	12	1869	10	6693	0.18496937098461078	0.01156737998843262	0.3703245749613601
GPR157	ENSG00000180758.11	3	4	1690	4	5372	0.23473566641846613	0.034976525821596244	1.0
H6PD	ENSG00000049239.11	3	4	2788	5	9321	0.26145263383757106	0.0078091106290672455	0.9904405652535329
SPSB1	ENSG00000171621.12	4	2	882	2	3403	0.2430208639435792	0.0030959752321981426	1.0
SLC25A33	ENSG00000171612.6	1	7	1148	7	3854	0.27270368448365334	0.030439294361812523	1.0
TMEM201	ENSG00000188807.11	5	12	2179	12	6966	0.30017226528854435	0.024764409379793996	0.8231377444860591
PIK3CD	ENSG00000171608.14	8	18	5470	24	6332	0.5527479469361971	0.03640982218458933	0.8599496221662468
CLSTN1	ENSG00000171603.15	5	19	3334	19	5559	0.5560352581399532	0.027216856892010536	0.9231941481255714
AL357140.1	ENSG00000280113.1	1	0	0	1	649	0.0	0.0	0.0
CTNNBIP1	ENSG00000178585.13	4	3	355	3	3339	0.08056304282719377	0.008397932816537468	1.0
LZIC	ENSG00000162441.10	5	7	660	7	2794	0.25483178239083754	0.06945169712793733	0.658703071672355
NMNAT1	ENSG00000173614.12	5	5	961	5	4610	0.19934924078091107	0.01141352063213345	0.7376362112321878
RBP7	ENSG00000162444.11	2	4	451	4	861	0.5609756097560976	0.3200992555831266	0.7729257641921398
UBE4B	ENSG00000130939.17	10	30	4568	32	9128	0.4540972830850131	0.024442846872753415	0.6424519382288055
KIF1B	ENSG00000054523.15	12	49	11893	49	17693	0.3975583564121404	0.016874077198903183	0.8371696504688833
PGD	ENSG00000142657.19	10	13	1741	13	2966	0.4861766689143628	0.08291873963515754	0.5861182519280206
APITD1-CORT	ENSG00000251503.6	6	7	851	6	2301	0.3646240764884833	0.1763380281690141	1.0
APITD1	ENSG00000175279.20	5	6	737	5	1739	0.359401955146636	0.17620345140781107	0.6755485893416928
CORT	ENSG00000241563.3	1	2	478	2	1130	0.41858407079646015	0.19386503067484662	1.0
DFFA	ENSG00000160049.10	3	6	1050	6	6622	0.15524010872848082	0.013335948225142185	0.6303348653972423
PEX14	ENSG00000142655.11	4	10	2221	12	2995	0.4954924874791319	0.1513353115727003	0.670866935483871
CASZ1	ENSG00000130940.13	9	19	6209	22	11336	0.5199364855328158	0.017549261083743842	0.7216864490603363
C1orf127	ENSG00000175262.13	5	12	2762	12	3573	0.6484746711446964	0.02054794520547945	0.7043584273087473
TARDBP	ENSG00000120948.14	33	7	1861	8	6516	0.22160834868017187	0.09827760891590678	0.24362452523060227
MASP2	ENSG00000009724.15	4	12	2658	10	4251	0.4570689249588332	0.2593283582089552	0.48559892328398385
SRM	ENSG00000116649.8	6	7	1193	7	1898	0.5769230769230769	0.18488745980707397	0.7710464201416207
EXOSC10	ENSG00000171824.12	11	24	3277	22	6003	0.39813426620023323	0.14035087719298245	0.41098286114025884
MTOR	ENSG00000198793.11	7	58	8371	57	12119	0.6413895535935308	0.18349514563106797	0.6850933357381188
ANGPTL7	ENSG00000171819.4	2	5	1073	5	2238	0.4673815907059875	0.006666666666666667	1.0
UBIAD1	ENSG00000120942.12	4	3	1223	3	5082	0.2312081857536403	0.04050314465408805	0.9159891598915989
PTCHD2	ENSG00000204624.7	3	21	4485	23	6142	0.6922826440898731	0.061447811447811446	0.8435607589826403
FBXO2	ENSG00000116661.9	5	6	1090	9	2334	0.3543273350471294	0.06040268456375839	0.4921334172435494
FBXO44	ENSG00000132879.12	9	6	923	5	3527	0.22965693223702863	0.016292541636495295	1.0
FBXO6	ENSG00000116663.9	3	5	967	6	1811	0.49088901159580345	0.0124804992199688	0.752991452991453
MAD2L2	ENSG00000116670.13	9	7	1204	5	3324	0.20577617328519857	0.0211864406779661	0.3881578947368421
DRAXIN	ENSG00000162490.6	1	6	1092	6	7346	0.14361557310100734	0.0012700428639466582	1.0
AGTRAP	ENSG00000177674.14	14	8	905	6	2435	0.3047227926078029	0.374390243902439	0.2693498452012384
C1orf167	ENSG00000215910.6	7	22	4719	22	6499	0.6440990921680259	0.11267605633802817	0.6559697970740915
MTHFR	ENSG00000177000.9	9	18	3357	11	10214	0.2110828274916781	0.04685212298682284	0.6063829787234043
CLCN6	ENSG00000011021.20	8	24	3702	25	6938	0.4450850389161142	0.03409411101718794	0.8754794924756565
NPPA	ENSG00000175206.9	3	3	781	3	1120	0.49910714285714286	0.15892053973013492	1.0
NPPB	ENSG00000120937.8	1	3	539	3	694	0.6469740634005764	0.16095890410958905	1.0
KIAA2013	ENSG00000116685.14	3	3	2120	3	3281	0.6321243523316062	0.0458498023715415	1.0
PLOD1	ENSG00000083444.15	9	22	4268	22	5320	0.5022556390977444	0.1295843520782396	0.55484019314785
MFN2	ENSG00000116688.15	6	18	4025	19	4973	0.46832897647295396	0.023453295592397897	0.9084
MIIP	ENSG00000116691.9	7	9	1385	7	2821	0.3881602268699043	0.16136919315403422	0.42661691542288555
TNFRSF8	ENSG00000120949.13	5	15	1802	13	3738	0.5008025682182986	0.17633726201269265	0.9680156657963447
TNFRSF1B	ENSG00000028137.15	4	11	1719	10	3766	0.3751991502920871	0.03126356925749023	0.9161512027491409
VPS13D	ENSG00000048707.12	14	70	14026	73	20023	0.6538980172801279	0.002232142857142857	0.7959729910578502
DHRS3	ENSG00000162496.7	4	6	1341	6	3036	0.3573781291172596	0.009454545454545455	0.6453943407585792
AADACL4	ENSG00000204518.2	1	4	1330	4	1575	0.7784126984126984	0.014124293785310734	1.0
AADACL3	ENSG00000188984.10	3	4	1100	3	4049	0.27438873795999014	0.019359145527369826	1.0
C1orf158	ENSG00000157330.8	3	4	784	5	4118	0.14327343370568238	0.002696326255476913	0.5056472632493484
PRAMEF12	ENSG00000116726.4	1	3	1467	3	1786	0.8157894736842105	0.02373887240356083	1.0
PRAMEF1	ENSG00000116721.9	2	4	1582	4	2439	0.6445264452644527	0.023035230352303523	0.9141681363903587
PRAMEF11	ENSG00000239810.3	2	3	1472	3	1845	0.7886178861788617	0.051094890510948905	1.0
HNRNPCL1	ENSG00000179172.8	2	1	887	1	1201	0.7385512073272273	0.024844720496894408	1.0
PRAMEF2	ENSG00000120952.4	1	3	1440	3	1642	0.8708891595615104	0.03636363636363636	1.0
PRAMEF4	ENSG00000243073.3	1	3	1455	3	1828	0.7888402625820569	0.02030456852791878	1.0
PRAMEF10	ENSG00000187545.5	1	3	1594	3	1525	0.9488524590163935	0.24271844660194175	1.0
PRAMEF7	ENSG00000204510.4	2	3	1493	3	1660	0.8698795180722891	0.09243697478991597	1.0
PRAMEF6	ENSG00000232423.4	3	3	1605	4	2170	0.6963133640552995	0.189010989010989	0.8309037900874635
WI2-3308P17.2	ENSG00000274764.3	2	0	0	3	1927	0.0	0.0	0.0
PRAMEF25	ENSG00000280267.2	3	2	1165	7	4255	0.2719153936545241	0.01282051282051282	0.3794479547721982
PRAMEF26	ENSG00000229571.5	3	0	0	3	2013	0.0	0.0	0.0
HNRNPCL3	ENSG00000277058.2	1	0	0	1	1148	0.0	0.0	0.0
HNRNPCL2	ENSG00000275774.2	1	1	884	1	1148	0.7700348432055749	0.01858736059479554	1.0
HNRNPCL4	ENSG00000179412.10	1	0	0	1	882	0.0	0.0	0.0
PRAMEF18	ENSG00000279804.1	1	2	912	3	2104	0.4211026615969582	0.02118003025718608	0.6042966042966043
PRAMEF5	ENSG00000270601.3	2	3	1493	3	1855	0.7816711590296496	0.05152224824355972	1.0
PRAMEF8	ENSG00000182330.9	3	3	1473	3	1937	0.743417656169334	0.03300970873786408	1.0
PRAMEF9	ENSG00000204501.5	2	3	1493	3	1960	0.7428571428571429	0.04905660377358491	1.0
PRAMEF14	ENSG00000204481.7	2	3	1493	4	2301	0.6297262059973925	0.10074626865671642	0.8359788359788359
PRAMEF19	ENSG00000204480.7	1	3	1502	3	1233	1.0	1.0	1.0
PRAMEF17	ENSG00000204479.4	1	3	1493	3	1578	0.9169835234474017	0.16025641025641027	1.0
PRAMEF20	ENSG00000204478.8	2	3	1493	3	1597	0.8998121477770821	0.06976744186046512	1.0
LRRC38	ENSG00000162494.5	1	2	892	2	2209	0.40289723856948845	0.006028636021100226	1.0
PDPN	ENSG00000162493.15	12	9	645	5	3707	0.24575128135958996	0.12995245641838352	1.0
PRDM2	ENSG00000116731.21	14	10	5446	9	10923	0.48960908175409684	0.032748076543696984	0.8852066962760505
KAZN	ENSG00000189337.14	7	16	2916	15	12644	0.21195824106295477	0.022790766063814145	0.4321410234468595
TMEM51	ENSG00000171729.12	6	2	772	2	2240	0.3424107142857143	0.1955215729109776	1.0
C1orf195	ENSG00000204464.6	3	3	506	3	559	0.8980322003577818	0.12121212121212122	1.0
FHAD1	ENSG00000142621.18	22	39	5094	39	12805	0.3577508785630613	0.1398390342052314	0.42414986764406437
EFHD2	ENSG00000142634.11	2	5	895	5	2531	0.3318846305807981	0.007046388725778039	1.0
CTRC	ENSG00000162438.10	4	7	1531	7	3486	0.26305220883534136	0.046399406087602076	1.0
CELA2A	ENSG00000142615.7	3	8	1021	8	1519	0.5826201448321264	0.6160714285714286	0.5796586059743954
CELA2B	ENSG00000215704.8	4	11	1444	11	1457	0.8826355525051476	0.5948275862068966	0.9075316927665921
CASP9	ENSG00000132906.16	11	11	1577	8	5269	0.233440880622509	0.0649481930755623	0.9054878048780488
DNAJC16	ENSG00000116138.11	10	15	2186	17	8563	0.28809996496554946	0.08246364414029085	0.7303164091243561
AGMAT	ENSG00000116771.5	1	7	1245	7	2500	0.4312	0.015235457063711912	1.0
DDI2	ENSG00000197312.10	6	11	1141	9	12136	0.25972313777191824	0.2066428421273912	0.5143412736995625
RSC1A1	ENSG00000215695.1	1	1	1859	1	1854	1.0	1.0	1.0
PLEKHM2	ENSG00000116786.10	4	20	3543	20	4122	0.7974284327996118	0.215962441314554	1.0
SLC25A34	ENSG00000162461.7	3	5	1054	6	3195	0.29358372456964005	0.003857280617164899	0.8296164139161463
TMEM82	ENSG00000162460.6	2	6	1167	6	1520	0.6881578947368421	0.034623217922606926	1.0
FBLIM1	ENSG00000162458.11	15	7	1419	7	4716	0.28944020356234096	0.003426791277258567	0.899070385126162
UQCRHL	ENSG00000233954.6	1	1	278	1	2180	0.12752293577981652	0.0026219192448872575	1.0
SPEN	ENSG00000065526.9	5	16	11480	16	13294	0.8536181736121559	0.037776578521316787	0.9857529936194389
ZBTB17	ENSG00000116809.10	16	14	3333	12	4240	0.3865566037735849	0.30864197530864196	0.39478487614080837
C1orf64	ENSG00000183888.4	1	2	534	2	3039	0.1717670286278381	0.005924170616113744	1.0
HSPB7	ENSG00000173641.16	7	4	1177	3	3910	0.17365728900255756	0.11527722377343438	0.4718460441910192
CLCNKA	ENSG00000186510.10	7	18	4146	26	3476	0.6251438434982739	0.11663479923518165	0.7152048763968846
CLCNKB	ENSG00000184908.16	4	19	4108	19	2939	0.7730520585233073	0.0863013698630137	1.0
FAM131C	ENSG00000185519.8	2	7	1040	7	1701	0.5267489711934157	0.06549707602339182	0.9927184466019418
EPHA2	ENSG00000142627.12	4	16	4770	18	4159	0.742005289733109	0.10231660231660232	0.9542106948447006
ARHGEF19	ENSG00000142632.15	6	15	2699	14	3745	0.6595460614152203	0.019886363636363636	1.0
RSG1	ENSG00000132881.10	2	5	802	5	1545	0.5061488673139158	0.010376134889753566	1.0
FBXO42	ENSG00000037637.9	4	9	2247	9	8984	0.24499109528049867	0.004601932811780948	0.4702457956015524
SZRD1	ENSG00000055070.15	10	5	965	10	4747	0.18538024015167473	0.06809160305343512	0.44633152173913043
SPATA21	ENSG00000187144.10	6	16	2646	20	4506	0.493786063027075	0.14599236641221375	0.5991902834008097
NECAP2	ENSG00000157191.18	12	9	715	8	5559	0.13527612880014392	0.17797783933518005	0.21829386960752514
FAM231C	ENSG00000268991.2	1	0	0	1	510	0.0	0.0	0.0
NBPF1	ENSG00000219481.9	7	23	3795	28	12212	0.2802161808057648	0.0017966223499820337	0.3623926185173401
FAM231A	ENSG00000237847.2	2	1	531	2	1021	0.49951028403525954	0.42857142857142855	0.5
CROCC	ENSG00000058453.15	13	38	7123	39	8871	0.7016119941382032	0.1305785123966942	0.7434067263488991
MFAP2	ENSG00000117122.12	6	8	872	5	2915	0.14957118353344767	0.053445850914205346	0.19509981851179672
ATP13A2	ENSG00000159363.16	15	23	6597	26	5253	0.7725109461260232	0.697228144989339	0.8454215775158658
SDHB	ENSG00000117118.8	8	8	1660	10	2462	0.44719740048740864	0.17785234899328858	0.5332261521972133
PADI2	ENSG00000117115.11	4	16	2291	16	5984	0.32135695187165775	0.025948876839659178	0.5455614344503233
PADI1	ENSG00000142623.9	3	16	2541	15	4903	0.4434019987762594	0.14862681744749595	0.6231122783978988
PADI3	ENSG00000142619.4	1	16	2331	16	3189	0.627783004076513	0.00835421888053467	1.0
PADI4	ENSG00000159339.12	5	17	2750	18	2971	0.8165600807808818	0.4550561797752809	0.9305002213368747
AC004824.2	ENSG00000280226.1	1	0	0	2	189	0.0		0.0
PADI6	ENSG00000276747.1	1	16	2252	16	2396	0.8710350584307178	0.01592356687898089	1.0
RCC2	ENSG00000179051.12	3	12	1813	12	4126	0.3814832767813863	0.003125	1.0
ARHGEF10L	ENSG00000074964.15	9	32	4616	32	7817	0.5908916464116669	0.49603174603174605	0.6091200244014031
ACTL8	ENSG00000117148.7	2	2	1111	2	1864	0.5933476394849786	0.010443864229765013	1.0
IGSF21	ENSG00000117154.10	4	11	1684	11	3085	0.5011345218800648	0.17343173431734318	0.5591919191919192
KLHDC7A	ENSG00000179023.8	1	2	2339	1	5145	0.45403304178814385	0.0017768301350390902	1.0
PAX7	ENSG00000009709.10	3	9	1783	9	6313	0.26754316489782987	0.0034482758620689655	1.0
TAS1R2	ENSG00000179002.5	1	6	2567	6	2542	0.99213217938631	0.2	1.0
RP13-279N23.2	ENSG00000255275.3	1	24	1005	8	4369	0.8974593728542001	0.8713752512202124	1.0
ALDH4A1	ENSG00000159423.15	6	15	3380	16	3689	0.5161290322580645	0.05656350053361793	0.990633608815427
IFFO2	ENSG00000169991.9	3	9	1683	9	6188	0.25145442792501616	0.0010782833728703904	1.0
UBR4	ENSG00000127481.13	17	109	17437	107	24675	0.6379736575481256	0.029077117572692796	0.6581393401440295
EMC1	ENSG00000127463.12	14	23	3294	21	10650	0.2552112676056338	0.03207070707070707	0.3966018674422164
MRTO4	ENSG00000053372.4	3	8	986	8	2822	0.28313253012048195	0.026282853566958697	0.6184640522875817
AKR7A3	ENSG00000162482.4	1	7	1031	7	1710	0.5853801169590643	0.011157601115760111	1.0
AKR7A2	ENSG00000053371.11	5	7	1836	7	1781	0.6967995508141493	0.5229357798165137	0.7531598513011153
PQLC2	ENSG00000040487.11	6	8	957	7	2686	0.3600148920327625	0.06270447110141766	1.0
CAPZB	ENSG00000077549.16	9	13	1386	14	3238	0.4122915379864114	0.16147635524798154	0.7014627659574468
MINOS1	ENSG00000173436.12	10	6	838	9	5227	0.12492825712645877	0.03293241695303551	0.3100864553314121
MINOS1-NBL1	ENSG00000270136.4	4	8	586	6	2493	0.3918973124749298	0.30568124685771747	0.7321428571428571
NBL1	ENSG00000158747.12	13	5	782	5	3465	0.2178932178932179	0.008415660446395901	1.0
HTR6	ENSG00000158748.3	1	3	1379	3	1984	0.6748991935483871	0.0286144578313253	1.0
TMCO4	ENSG00000162542.12	8	14	2230	17	4054	0.39590527873704984	0.08286403861625101	0.6773390252579153
